I have no experience working in a terminal 	I have never directly accessed a database 	I have never programmed before. 
I have written simple terminal commands or done some system work on the terminal 	I can write simple queries and issue them to a database 	I can write complex programs, am familiar with programming design patterns, software testing, system design, and algorithms. 
I have no experience working in a terminal 	I can write simple queries and issue them to a database 	I can write simple programs to accomplish tasks I encounter 
I have issued a few commands in a terminal based on given instructions 	I can write simple queries and issue them to a database 	I have written simple programs, based on instructions or a tutorial 
I have written simple terminal commands or done some system work on the terminal 	I can write simple queries and issue them to a database 	I can write complex programs, am familiar with programming design patterns, software testing, system design, and algorithms. 
I have written simple terminal commands or done some system work on the terminal 	I am a database hacker 	I am a hacker or have  senior-level programming experience 
I have issued a few commands in a terminal based on given instructions 	I have never directly accessed a database 	I have written simple programs, based on instructions or a tutorial 
I have issued a few commands in a terminal based on given instructions 	I have never directly accessed a database 	I can write simple programs to accomplish tasks I encounter 
I have issued a few commands in a terminal based on given instructions 	I can write simple queries and issue them to a database 	I can write complex programs, am familiar with programming design patterns, software testing, system design, and algorithms. 
I have no experience working in a terminal 	I have never directly accessed a database 	I have written simple programs, based on instructions or a tutorial 
I have issued a few commands in a terminal based on given instructions 	I have issued simple queries to a relational database based on given instructions 	I have written simple programs, based on instructions or a tutorial 
I have issued a few commands in a terminal based on given instructions 	I can write very complex queries when needed 	I can write complex programs, am familiar with programming design patterns, software testing, system design, and algorithms. 
I have written simple terminal commands or done some system work on the terminal 	I can write simple queries and issue them to a database 	I can write complex programs, am familiar with programming design patterns, software testing, system design, and algorithms. 
I have issued a few commands in a terminal based on given instructions 	I have issued simple queries to a relational database based on given instructions 	I have written simple programs, based on instructions or a tutorial 
I have written complex commands done or have done deep system work  	I can write very complex queries when needed 	I am a hacker or have  senior-level programming experience 
I have written complex commands done or have done deep system work  	I can write simple queries and issue them to a database 	I can write simple programs to accomplish tasks I encounter 
I have issued a few commands in a terminal based on given instructions 	I can write simple queries and issue them to a database 	I can write simple programs to accomplish tasks I encounter 
I have written simple terminal commands or done some system work on the terminal 	I can write very complex queries when needed 	I can write simple programs to accomplish tasks I encounter 
I have issued a few commands in a terminal based on given instructions 	I have issued simple queries to a relational database based on given instructions 	I have written simple programs, based on instructions or a tutorial 
I have written simple terminal commands or done some system work on the terminal 	I can write simple queries and issue them to a database 	I can write simple programs to accomplish tasks I encounter 
I have issued a few commands in a terminal based on given instructions 	I have issued simple queries to a relational database based on given instructions 	I have written simple programs, based on instructions or a tutorial 
I dont even understand the question	I have never directly accessed a database 	I have never programmed before. 
I have written complex commands done or have done deep system work  	I can write very complex queries when needed 	I can write simple programs to accomplish tasks I encounter 
I have written simple terminal commands or done some system work on the terminal 	I can write very complex queries when needed 	I am a hacker or have  senior-level programming experience 
I have written simple terminal commands or done some system work on the terminal 	I can write simple queries and issue them to a database 	I can write complex programs, am familiar with programming design patterns, software testing, system design, and algorithms. 
I have written simple terminal commands or done some system work on the terminal 	I have issued simple queries to a relational database based on given instructions 	I have written simple programs, based on instructions or a tutorial 
I have written simple terminal commands or done some system work on the terminal 	I have issued simple queries to a relational database based on given instructions 	I have written simple programs, based on instructions or a tutorial 
I have no experience working in a terminal 	I have never directly accessed a database 	I have never programmed before. 
I have written complex commands done or have done deep system work  	I can write very complex queries when needed 	I can write complex programs, am familiar with programming design patterns, software testing, system design, and algorithms. 
I have no experience working in a terminal 	I can write very complex queries when needed 	I can write simple programs to accomplish tasks I encounter 
I have no experience working in a terminal 	I can write very complex queries when needed 	I can write simple programs to accomplish tasks I encounter 
I dont even understand the question	I have never directly accessed a database 	I have never programmed before. 
I have written simple terminal commands or done some system work on the terminal 	I can write very complex queries when needed 	I can write complex programs, am familiar with programming design patterns, software testing, system design, and algorithms. 
I have written simple terminal commands or done some system work on the terminal 	I can write very complex queries when needed 	I can write complex programs, am familiar with programming design patterns, software testing, system design, and algorithms. 
I have no experience working in a terminal 	I can write simple queries and issue them to a database 	I can write simple programs to accomplish tasks I encounter 
I have issued a few commands in a terminal based on given instructions 	I can write simple queries and issue them to a database 	I have written simple programs, based on instructions or a tutorial 
I have no experience working in a terminal 	I have issued simple queries to a relational database based on given instructions 	I have written simple programs, based on instructions or a tutorial 
I dont even understand the question	I have issued simple queries to a relational database based on given instructions 	I have written simple programs, based on instructions or a tutorial 
I dont even understand the question	I have issued simple queries to a relational database based on given instructions 	I have written simple programs, based on instructions or a tutorial 
